CtsUrn	VisualEvidence
urn:cts:greekLit:tlg5026.msAint.hmt:2.144	urn:cite:hmt:vaimg.VA026RN-0027@0.0721,0.5166,0.0946,0.0523
urn:cts:greekLit:tlg5026.msAint.hmt:2.143	urn:cite:hmt:vaimg.VA026RN-0027@0.0854,0.4603,0.0867,0.0613
urn:cts:greekLit:tlg5026.msAint.hmt:2.142	urn:cite:hmt:vaimg.VA026RN-0027@0.0808,0.3802,0.085,0.0554
urn:cts:greekLit:tlg5026.msAint.hmt:2.141	urn:cite:hmt:vaimg.VA026RN-0027@0.0963,0.3648,0.0704,0.015
urn:cts:greekLit:tlg5026.msAint.hmt:2.140	urn:cite:hmt:vaimg.VA026RN-0027@0.0967,0.2669,0.0771,0.0635
urn:cts:greekLit:tlg5026.msAint.hmt:2.139	urn:cite:hmt:vaimg.VA026RN-0027@0.1358,0.2128,0.0354,0.0354
urn:cts:greekLit:tlg5026.msAint.hmt:2.111	urn:cite:hmt:vaimg.VA025VN-0527@0.8435,0.5798,0.0569,0.0254
urn:cts:greekLit:tlg5026.msAint.hmt:2.110	urn:cite:hmt:vaimg.VA025VN-0527@0.8292,0.4467,0.0754,0.041
urn:cts:greekLit:tlg5026.msAint.hmt:2.109	urn:cite:hmt:vaimg.VA025VN-0527@0.8292,0.2726,0.0538,0.0338
urn:cts:greekLit:tlg5026.msAint.hmt:2.74	urn:cite:hmt:vaimg.VA025RN-0026@0.0793,0.5937,0.0696,0.0311
urn:cts:greekLit:tlg5026.msAint.hmt:2.73	urn:cite:hmt:vaimg.VA025RN-0026@0.0911,0.5334,0.0804,0.0274
urn:cts:greekLit:tlg5026.msAint.hmt:2.72	urn:cite:hmt:vaimg.VA025RN-0026@0.0804,0.4358,0.0904,0.0316
urn:cts:greekLit:tlg5026.msAint.hmt:2.33	urn:cite:hmt:vaimg.VA024VN-0526@0.8788,0.6674,0.0375,0.031
urn:cts:greekLit:tlg5026.msAint.hmt:2.32	urn:cite:hmt:vaimg.VA024VN-0526@0.8888,0.4978,0.0379,0.0322
urn:cts:greekLit:tlg5026.msAint.hmt:2.15	urn:cite:hmt:vaimg.VA024RN-0025@0.0987,0.6298,0.0777,0.0295
urn:cts:greekLit:tlg5026.msAint.hmt:2.14	urn:cite:hmt:vaimg.VA024RN-0025@0.099,0.5892,0.068,0.0401
urn:cts:greekLit:tlg5026.msAint.hmt:2.13	urn:cite:hmt:vaimg.VA024RN-0025@0.1117,0.5344,0.057,0.0315
