CtsUrn	VisualEvidence
urn:cts:greekLit:tlg5026.msAint.hmt:7.3049	urn:cite:hmt:vaimg.VA099VN-0602@0.855,0.65,0.0525,0.0269
urn:cts:greekLit:tlg5026.msAint.hmt:7.3017	urn:cite:hmt:vaimg.VA099RN-0271@0.098,0.6431,0.083,0.0383
urn:cts:greekLit:tlg5026.msAint.hmt:7.3016	urn:cite:hmt:vaimg.VA099RN-0271@0.108,0.6206,0.069,0.0248
urn:cts:greekLit:tlg5026.msAint.hmt:7.3015	urn:cite:hmt:vaimg.VA099RN-0271@0.101,0.583,0.072,0.0458
urn:cts:greekLit:tlg5026.msAint.hmt:7.3014	urn:cite:hmt:vaimg.VA099RN-0271@0.104,0.4448,0.074,0.0721
urn:cts:greekLit:tlg5026.msAint.hmt:7.3013	urn:cite:hmt:vaimg.VA099RN-0271@0.098,0.3599,0.077,0.0308
urn:cts:greekLit:tlg5026.msAint.hmt:7.3012	urn:cite:hmt:vaimg.VA099RN-0271@0.104,0.2735,0.075,0.0646
urn:cts:greekLit:tlg5026.msAint.hmt:7.3008	urn:cite:hmt:vaimg.VA100RN-0272@0.103,0.5845,0.065,0.0533
urn:cts:greekLit:tlg5026.msAint.hmt:7.3007	urn:cite:hmt:vaimg.VA100RN-0272@0.103,0.3974,0.07,0.0293
urn:cts:greekLit:tlg5026.msAint.hmt:7.3005	urn:cite:hmt:vaimg.VA098VN-0601@0.8558,0.6249,0.0408,0.0326
urn:cts:greekLit:tlg5026.msAint.hmt:7.3004	urn:cite:hmt:vaimg.VA098VN-0601@0.8517,0.4415,0.0483,0.0407
urn:cts:greekLit:tlg5026.msAint.hmt:6.205	urn:cite:hmt:vaimg.VA090VN-0593@0.83714075,0.31950207,0.04882093,0.02074689
urn:cts:greekLit:tlg5026.msAint.hmt:6.204	urn:cite:hmt:vaimg.VA090RN-0262@0.10961680,0.60899032,0.04771555,0.03692946
urn:cts:greekLit:tlg5026.msAint.hmt:6.203	urn:cite:hmt:vaimg.VA090RN-0262@0.09948416,0.47551867,0.04863670,0.02351314
urn:cts:greekLit:tlg5026.msAint.hmt:6.202	urn:cite:hmt:vaimg.VA089RN-0261@0.11016949,0.38948824,0.05747973,0.02130014
urn:cts:greekLit:tlg5026.msAint.hmt:6.201	urn:cite:hmt:vaimg.VA089RN-0261@0.11219602,0.29557400,0.04697863,0.03762102
urn:cts:greekLit:tlg5026.msAint.hmt:6.200	urn:cite:hmt:vaimg.VA088VN-0591@0.84432572,0.42088520,0.04384672,0.01881051
urn:cts:greekLit:tlg5026.msAint.hmt:6.199	urn:cite:hmt:vaimg.VA088RN-0260@0.11790715,0.64370678,0.03647752,0.01161826
urn:cts:greekLit:tlg5026.msAint.hmt:6.198	urn:cite:hmt:vaimg.VA088RN-0260@0.10169492,0.61355463,0.06190125,0.03125864
urn:cts:greekLit:tlg5026.msAint.hmt:6.197	urn:cite:hmt:vaimg.VA088RN-0260@0.11274871,0.57869986,0.05305822,0.03485477
urn:cts:greekLit:tlg5026.msAint.hmt:6.196	urn:cite:hmt:vaimg.VA087VN-0590@0.83787767,0.54370678,0.03684598,0.01576763
urn:cts:greekLit:tlg5026.msAint.hmt:6.195	urn:cite:hmt:vaimg.VA087VN-0590@0.83714075,0.33540802,0.03500368,0.01715076
urn:cts:greekLit:tlg5026.msAint.hmt:6.194	urn:cite:hmt:vaimg.VA087RN-0259@0.10611643,0.65753804,0.05655859,0.01479945
urn:cts:greekLit:tlg5026.msAint.hmt:6.193	urn:cite:hmt:vaimg.VA087RN-0259@0.10611643,0.65753804,0.05655859,0.01479945
urn:cts:greekLit:tlg5026.msAint.hmt:6.192	urn:cite:hmt:vaimg.VA087RN-0259@0.10408990,0.61687414,0.04568902,0.01936376
urn:cts:greekLit:tlg5026.msAint.hmt:6.191	urn:cite:hmt:vaimg.VA087RN-0259@0.11016949,0.54633472,0.03831982,0.01369295
urn:cts:greekLit:tlg5026.msAint.hmt:6.190	urn:cite:hmt:vaimg.VA087RN-0259@0.11422255,0.44951591,0.05268976,0.01936376
urn:cts:greekLit:tlg5026.msAint.hmt:6.189	urn:cite:hmt:vaimg.VA087RN-0259@0.10869565,0.35698479,0.03095063,0.01977870
urn:cts:greekLit:tlg5026.msAint.hmt:6.188	urn:cite:hmt:vaimg.VA087RN-0259@0.11330140,0.29861687,0.05821665,0.03374827
urn:cts:greekLit:tlg5026.msAint.hmt:6.187	urn:cite:hmt:vaimg.VA087RN-0259@0.12214444,0.22116183,0.04955785,0.01908714
urn:cts:greekLit:tlg5026.msAint.hmt:6.186	urn:cite:hmt:vaimg.VA086RN-0258@0.10832719,0.58796680,0.05011054,0.01715076
urn:cts:greekLit:tlg5026.msAint.hmt:6.185	urn:cite:hmt:vaimg.VA086RN-0258@0.10998526,0.43651452,0.04863670,0.03360996
urn:cts:greekLit:tlg5026.msAint.hmt:6.184	urn:cite:hmt:vaimg.VA085VN-0588@0.81208548,0.51521438,0.05453206,0.01424620
urn:cts:greekLit:tlg5026.msAint.hmt:6.183	urn:cite:hmt:vaimg.VA085VN-0588@0.85022108,0.42959889,0.03408254,0.03540802
urn:cts:greekLit:tlg5026.msAint.hmt:6.182	urn:cite:hmt:vaimg.VA085VN-0588@0.84893147,0.31701245,0.04163596,0.04107884
urn:cts:greekLit:tlg5026.msAint.hmt:6.181	urn:cite:hmt:vaimg.VA085RN-0257@0.10316875,0.60428769,0.05011054,0.02323651
urn:cts:greekLit:tlg5026.msAint.hmt:6.180	urn:cite:hmt:vaimg.VA085RN-0257@0.10574797,0.35988935,0.05876934,0.02475795
urn:cts:greekLit:tlg5026.msAint.hmt:6.179	urn:cite:hmt:vaimg.VA084VN-0587@0.85372144,0.63139696,0.03352985,0.01535270
urn:cts:greekLit:tlg5026.msAint.hmt:6.178	urn:cite:hmt:vaimg.VA084VN-0587@0.87140752,0.53167358,0.02266028,0.01009682
urn:cts:greekLit:tlg5026.msAint.hmt:6.177	urn:cite:hmt:vaimg.VA084VN-0587@0.83640383,0.48506224,0.04568902,0.01396957
urn:cts:greekLit:tlg5026.msAint.hmt:6.176	urn:cite:hmt:vaimg.VA084RN-0256@0.09727340,0.39391425,0.06079587,0.03015214
urn:cts:greekLit:tlg5026.msAint.hmt:6.175	urn:cite:hmt:vaimg.VA084RN-0256@0.09874724,0.35822960,0.05858511,0.02517289
urn:cts:greekLit:tlg5026.msAint.hmt:6.174	urn:cite:hmt:vaimg.VA084RN-0256@0.10390567,0.24260028,0.04900516,0.02268326
urn:cts:greekLit:tlg5026.msAint.hmt:6.173	urn:cite:hmt:vaimg.VA083VN-0586@0.82461312,0.59128631,0.05600590,0.03098202
urn:cts:greekLit:tlg5026.msAint.hmt:6.172	urn:cite:hmt:vaimg.VA083VN-0586@0.86072218,0.51881051,0.02910833,0.03679115
urn:cts:greekLit:tlg5026.msAint.hmt:6.171	urn:cite:hmt:vaimg.VA083VN-0586@0.83750921,0.29557400,0.04310980,0.03872752
urn:cts:greekLit:tlg5026.msAint.hmt:6.170	urn:cite:hmt:vaimg.VA083RN-0084@0.21444363,0.22323651,0.09156227,0.00968188
urn:cts:greekLit:tlg5026.msAint.hmt:6.169	urn:cite:hmt:vaimg.VA082RN-0254@0.14535741,0.57233748,0.05490052,0.01134163
urn:cts:greekLit:tlg5026.msAint.hmt:6.168	urn:cite:hmt:vaimg.VA082RN-0254@0.08069270,0.43305671,0.06908622,0.15518672
urn:cts:greekLit:tlg5026.msAint.hmt:6.167	urn:cite:hmt:vaimg.VA082RN-0254@0.09764186,0.41120332,0.07737657,0.01549101
