urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:76	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@καταχρωμένους[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:77	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@τούτῳ[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:78	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@πρὸς[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:79	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@τὰ[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:80	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@μηδεμιᾶς[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:81	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἄξια[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:82	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@σπουδῆς[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:83	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ἀκούσματα[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:84	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@καὶ[3]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:85	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@θεάματα[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:86	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@,[3]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:87	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@τῶν[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:88	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@δὲ[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:89	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@καλῶν[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:90	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@καὶ[4]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:91	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@ὠφελίμων[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:92	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@παραμελοῦντας[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:93	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@;[1]
urn:cite2:fufolio:PlutPericles_SyntaxTokens_ORCA.v1:94	urn:cts:greekLit:tlg0007.tlg012.ziegler:1.2@τῇ[1]
